tst_cam,det,pred
20160816_0359_0,17,6.90227e-16
20160816_0359_0,9,0.000150512
20160816_0359_0,13,2.26137e-07
20160816_0359_0,0,1.18225e-06
20160816_0359_0,1,4.25137e-05
20160816_0359_0,15,2.09465e-13
20160816_0359_0,6,9.29517e-09
20160816_0359_0,14,2.09465e-13
20160816_0359_0,3,5.49293e-05
20160816_0359_0,12,4.93539e-06
20160816_0359_0,11,2.33429e-08
20160816_0359_0,5,4.70081e-08
20160816_0359_0,19,2.8335e-08
20160816_0359_0,7,3.2039e-10
20160816_0359_0,2,1.09247e-07
20160816_0359_0,18,1.39217e-10
20160816_0359_0,16,5.23205e-05
20160816_0359_0,8,1.88017e-15
20160816_0359_0,4,4.87988e-08
20160816_0359_0,10,4.43897e-08
20160816_0359_0,20,1.34483e-06
20160816_0519_1,0,8.13583e-05
20160816_0519_1,1,0.0002757
20160816_0519_1,3,1.92896e-07
20160816_0519_1,2,4.85891e-06
20160816_1554_1,51,0.96403
20160816_1554_1,26,0.907355
20160816_1554_1,17,0.98435
20160816_1554_1,28,0.981846
20160816_1554_1,37,0.905168
20160816_1554_1,9,0.00261397
20160816_1554_1,13,0.985733
20160816_1554_1,58,0.878205
20160816_1554_1,0,0.977893
20160816_1554_1,25,0.0533659
20160816_1554_1,1,0.976609
20160816_1554_1,54,0.919706
20160816_1554_1,48,0.967361
20160816_1554_1,59,0.922374
20160816_1554_1,39,0.970165
20160816_1554_1,35,0.597018
20160816_1554_1,34,0.0155321
20160816_1554_1,15,0.00149191
20160816_1554_1,6,0.935412
20160816_1554_1,45,0.184737
20160816_1554_1,14,0.00367249
20160816_1554_1,40,0.00447153
20160816_1554_1,3,0.952942
20160816_1554_1,31,0.0670458
20160816_1554_1,12,0.908197
20160816_1554_1,11,0.931338
20160816_1554_1,5,0.96251
20160816_1554_1,30,0.114176
20160816_1554_1,19,0.894213
20160816_1554_1,47,0.837389
20160816_1554_1,32,0.00852359
20160816_1554_1,52,0.868405
20160816_1554_1,42,0.886186
20160816_1554_1,55,0.979304
20160816_1554_1,27,0.978479
20160816_1554_1,23,0.0114397
20160816_1554_1,7,0.9882
20160816_1554_1,56,0.981107
20160816_1554_1,2,0.0889407
20160816_1554_1,18,0.996875
20160816_1554_1,16,0.934121
20160816_1554_1,38,0.80425
20160816_1554_1,44,0.932269
20160816_1554_1,8,0.126337
20160816_1554_1,4,0.904407
20160816_1554_1,36,0.998458
20160816_1554_1,43,0.812913
20160816_1554_1,57,0.984007
20160816_1554_1,33,0.0155321
20160816_1554_1,24,0.939162
20160816_1554_1,10,0.00617186
20160816_1554_1,22,0.619296
20160816_1554_1,49,0.998436
20160816_1554_1,29,0.758182
20160816_1554_1,62,0.967707
20160816_1554_1,20,0.999513
20160816_1554_1,50,0.994039
20160816_1554_1,21,0.999219
20160816_1554_1,61,0.980805
20160816_1554_1,46,0.991249
20160816_1554_1,53,0.955669
20160816_1554_1,41,0.817492
20160816_1554_1,60,0.0030369
20160816_2134_0,0,6.87052e-06
20160816_1538_0,17,6.379e-05
20160816_1538_0,9,0.0852134
20160816_1538_0,13,0.923976
20160816_1538_0,0,0.0120847
20160816_1538_0,1,0.042956
20160816_1538_0,15,0.000615915
20160816_1538_0,6,0.998783
20160816_1538_0,14,0.88136
20160816_1538_0,3,0.0234053
