key,  length,  raw_angle,  x0,  y0,  date,  time,  cam_angle
20160816_1100_0/0,49,3.03142687629,51.5,75.5,2016/08/16,11:00:07:179,0.110165777299
20160816_1100_0/1,24,0.343352488714,116.5,13.3,2016/08/16,11:00:12:010,2.79824016488
20160816_1100_0/10,48,2.95363317119,83.0,70.6,2016/08/16,11:00:50:624,0.187959482395
20160816_1100_0/11,22,4.80297876623,69.0,64.5,2016/08/16,11:00:55:506,-1.66138611264
20160816_1100_0/12,34,5.81336455075,74.3,64.8,2016/08/16,11:00:56:701,-2.67177189716
20160816_1100_0/2,26,0.137435807688,59.0,69.0,2016/08/16,11:00:12:591,3.0041568459
20160816_1100_0/3,23,1.15138668945,60.8,74.3,2016/08/16,11:00:17:945,1.99020596414
20160816_1100_0/4,28,0.521819653533,61.6,72.0,2016/08/16,11:00:19:061,2.61977300006
20160816_1100_0/5,33,4.99587450128,61.3,80.5,2016/08/16,11:00:23:453,-1.85428184769
20160816_1100_0/6,24,3.82108374367,65.6,65.4,2016/08/16,11:00:28:306,-0.67949109008
20160816_1100_0/7,32,3.95774251423,66.8,62.9,2016/08/16,11:00:29:056,-0.816149860639
20160816_1100_0/8,23,3.84692658501,71.1,64.6,2016/08/16,11:00:31:572,-0.705333931423
20160816_1100_0/9,23,3.76156253249,78.5,46.5,2016/08/16,11:00:34:994,-0.619969878898
20160816_1100_1/0,43,5.34379593012,98.8,109.6,2016/08/16,11:00:07:195,-5.34379593012
20160816_1101_0/0,45,2.9501910867,69.2,61.7,2016/08/16,11:01:00:862,0.191401566889
20160816_1101_0/1,29,2.12497981272,66.9,72.3,2016/08/16,11:01:03:984,1.01661284087
20160816_1101_0/2,42,1.53510427917,62.8,76.8,2016/08/16,11:01:06:943,1.60648837442
20160816_1101_0/3,32,5.8352033982,54.0,76.1,2016/08/16,11:01:10:896,-2.69361074461
20160816_1101_1/0,22,3.43986876518,94.0,101.8,2016/08/16,11:01:19:550,-3.43986876518
20160816_1101_1/1,24,0.409546546276,74.2,92.6,2016/08/16,11:01:41:844,-0.409546546276
20160816_1101_1/2,48,6.13858601964,95.8,65.8,2016/08/16,11:01:42:346,-6.13858601964
20160816_1101_1/3,42,4.89725580661,95.8,64.0,2016/08/16,11:01:49:472,-4.89725580661
20160816_1101_1/4,25,2.9208729542,101.3,68.5,2016/08/16,11:01:52:372,-2.9208729542
20160816_1101_1/5,25,0.936810120937,100.4,71.8,2016/08/16,11:01:53:615,-0.936810120937
20160816_1102_0/0,39,3.66452892428,91.0,59.3,2016/08/16,11:02:18:094,-0.522936270689
